;ID;Trial;Time;Montage;Dose;Groups;Lag;Side;Entropy;Replica;Teste
367;GSR;8;34.0;0;0;AC;15;R;0.07623339;0;
368;GSR;9;36.5;0;2;AC;16;R;0.1120018;2;
369;GSR;10;44.0;0;0;AC;13;R;0.06816489;0;
370;GSR;11;46.5;0;2;AC;17;R;0.08371342;2;
371;GSR;12;54.0;0;0;AC;11;R;0.046342;0;
372;GSR;13;56.5;0;2;AC;12;R;0.06904823;2;
373;GSR;14;64.0;0;0;AC;19;R;0.04532887;0;
374;GSR;15;66.5;0;3;AC;15;R;0.06064034;3;
375;GSR;16;74.0;0;0;AC;15;R;0.05488651;0;
376;GSR;17;76.5;0;3;AC;15;R;0.07005476;3;
377;GSR;18;84.0;0;0;AC;16;R;0.06524397;0;
378;GSR;19;86.5;0;3;AC;13;R;0.0704133;3;
379;GSR;20;94.0;0;0;AC;13;R;0.0525751;0;
380;GSR;1;2.0;1;0;baseline;16;R;0.08291098;0;
381;GSR;2;4.0;1;0;CC;14;R;0.05503195;0;
382;GSR;3;6.5;1;2;CC;13;R;0.07523016;1;
383;GSR;4;14.0;1;0;CC;14;R;0.07870543;0;
384;GSR;5;16.5;1;2;CC;11;R;0.08018165;1;
385;GSR;6;24.0;1;0;CC;9;R;0.05429354;0;
386;GSR;7;26.5;1;2;CC;13;R;0.04223125;1;
387;GSR;8;34.0;1;0;CC;14;R;0.0569687;0;
388;GSR;9;36.5;1;3;CC;16;R;0.07116389;2;
389;GSR;10;44.0;1;0;CC;13;R;0.08056847;0;
390;GSR;11;46.5;1;3;CC;11;R;0.0724448;2;
391;GSR;12;54.0;1;0;CC;12;R;0.05916507;0;
392;GSR;13;56.5;1;3;CC;16;R;0.08443863;2;
393;GSR;14;64.0;1;0;CC;10;R;0.08296361;0;
394;GSR;15;66.5;1;1;CC;13;R;0.1006108;3;
395;GSR;16;74.0;1;0;CC;14;R;0.05614731;0;
396;GSR;17;76.5;1;1;CC;14;R;0.06732281;3;
397;GSR;18;84.0;1;0;CC;13;R;0.04890787;0;
398;GSR;19;86.5;1;1;CC;15;R;0.07314718;3;
399;GSR;20;94.0;1;0;CC;14;R;0.09080166;0;
400;GSR;1;2.0;2;0;baseline;17;R;0.05654871;0;
401;GSR;2;4.0;2;0;SHAM-AC;14;R;0.04508294;0;
402;GSR;3;6.5;2;3;SHAM-AC;15;R;0.08124785;1;AN
